Event_ID,Event_Date,Applied_Date,Window_Day,Intensity_Phase,Hormuz_Risk,Energy_Infrastructure_Attack,Maritime_Security_Risk,Military_Escalation,Insurance_Freight_Risk,Market_Uncertainty_Component,Source_URL,Window_Rule
E001,2021-01-04,2021-01-04,0,full,2,0,3,1,2,1,https://www.reuters.com/world/south-korean-flagged-tanker-seized-by-iran-seoul-demands-release-2021-01-04/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E001,2021-01-04,2021-01-05,1,full,2,0,3,1,2,1,https://www.reuters.com/world/south-korean-flagged-tanker-seized-by-iran-seoul-demands-release-2021-01-04/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E001,2021-01-04,2021-01-06,2,full,2,0,3,1,2,1,https://www.reuters.com/world/south-korean-flagged-tanker-seized-by-iran-seoul-demands-release-2021-01-04/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E001,2021-01-04,2021-01-07,3,full,2,0,3,1,2,1,https://www.reuters.com/world/south-korean-flagged-tanker-seized-by-iran-seoul-demands-release-2021-01-04/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E001,2021-01-04,2021-01-08,4,decay,1,0,2,0,1,0,https://www.reuters.com/world/south-korean-flagged-tanker-seized-by-iran-seoul-demands-release-2021-01-04/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E001,2021-01-04,2021-01-09,5,decay,1,0,2,0,1,0,https://www.reuters.com/world/south-korean-flagged-tanker-seized-by-iran-seoul-demands-release-2021-01-04/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E001,2021-01-04,2021-01-10,6,decay,1,0,2,0,1,0,https://www.reuters.com/world/south-korean-flagged-tanker-seized-by-iran-seoul-demands-release-2021-01-04/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E001,2021-01-04,2021-01-11,7,decay,1,0,2,0,1,0,https://www.reuters.com/world/south-korean-flagged-tanker-seized-by-iran-seoul-demands-release-2021-01-04/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E002,2023-04-27,2023-04-27,0,full,2,0,3,1,2,1,https://www.reuters.com/world/second-oil-tanker-week-seized-by-iran-gulf-us-navy-2023-05-03/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E002,2023-04-27,2023-04-28,1,full,2,0,3,1,2,1,https://www.reuters.com/world/second-oil-tanker-week-seized-by-iran-gulf-us-navy-2023-05-03/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E002,2023-04-27,2023-04-29,2,full,2,0,3,1,2,1,https://www.reuters.com/world/second-oil-tanker-week-seized-by-iran-gulf-us-navy-2023-05-03/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E002,2023-04-27,2023-04-30,3,full,2,0,3,1,2,1,https://www.reuters.com/world/second-oil-tanker-week-seized-by-iran-gulf-us-navy-2023-05-03/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E002,2023-04-27,2023-05-01,4,decay,1,0,2,0,1,0,https://www.reuters.com/world/second-oil-tanker-week-seized-by-iran-gulf-us-navy-2023-05-03/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E002,2023-04-27,2023-05-02,5,decay,1,0,2,0,1,0,https://www.reuters.com/world/second-oil-tanker-week-seized-by-iran-gulf-us-navy-2023-05-03/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E002,2023-04-27,2023-05-03,6,decay,1,0,2,0,1,0,https://www.reuters.com/world/second-oil-tanker-week-seized-by-iran-gulf-us-navy-2023-05-03/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E002,2023-04-27,2023-05-04,7,decay,1,0,2,0,1,0,https://www.reuters.com/world/second-oil-tanker-week-seized-by-iran-gulf-us-navy-2023-05-03/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E003,2023-05-03,2023-05-03,0,full,2,0,3,1,2,1,https://www.reuters.com/world/second-oil-tanker-week-seized-by-iran-gulf-us-navy-2023-05-03/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E003,2023-05-03,2023-05-04,1,full,2,0,3,1,2,1,https://www.reuters.com/world/second-oil-tanker-week-seized-by-iran-gulf-us-navy-2023-05-03/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
E003,2023-05-03,2023-05-05,2,full,2,0,3,1,2,1,https://www.reuters.com/world/second-oil-tanker-week-seized-by-iran-gulf-us-navy-2023-05-03/,Ship seizure/hijacking: 3 full-intensity days + 4 decay days
